RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  046693       2       0                                                        
ILL TAS data in the new ASCII format follow after the line VV..V                
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80                                                                        
THALEStweber      22-Mar-24 04:31:27                                            
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: THALES
EXPNO: 4-01-1820
USER_: tweber
LOCAL: STEFFENS
FILE_: 046693
DATE_: 22-Mar-24 04:31:27

TITLE: Completing our investigation of magnon band-sticking in a non-symmorphic crystal
TYPE_: tas
COMND: bs qh 1.5 1.5 0.6 7.5 dqh 0 0 0 0.1 np 45 mn 500000
POSQE: QH=   1.5004, QK=   1.5004, QL=   0.5997, EN=   7.5033, UN=meV
CURVE: MONO= auto, ANA= manu
STEPS: EN=   0.1000
PARAM: GONIO= 0
PARAM: DM=   3.13550, DA=   3.35500, KFIX=   1.49977
PARAM: SM=  1, SS= -1, SA=  1, FX=  2
PARAM: ALF1= 600.00, ALF2= 500.00, ALF3= 500.00, ALF4= 500.00
PARAM: BET1= 600.00, BET2= 600.00, BET3= 600.00, BET4= 600.00
PARAM: ETAM=  30.00, ETAA=  30.00
PARAM: AS=   8.92000, BS=   8.92000, CS=   8.92000
PARAM: AA=  90.00000, BB=  90.00000, CC=  90.00000, ETAS=  10.00000
PARAM: AX= -1.000, AY= -1.000, AZ=  0.000
PARAM: BX=  0.000, BY=  0.000, BZ= -1.000
VARIA: STR=out, USESELECTOR=1, CHGUIDE=elliptic
VARIA: SELSPEED=      0
VARIA: A1      =  24.43, A2      =  48.85, A3      =  20.93, A4      = -38.25
VARIA: A5      =  38.62, A6      =  77.27, CHV     =   3.00, CHSIPG  =   0.99
VARIA: GMH     =   0.30, TMH     =   0.00, RMH     = 212.20, GMSIPG  =   0.00
VARIA: TMSIPG  =   0.00, RMSIH   = 374.12, RMSIV   = 244.16, RMPGH   = 336.62
VARIA: RMPGV   = 557.30, DTR     =  40.00, DOC     =  22.46, RBA     =  -0.02
VARIA: A3P     =   0.00, A3B     =-120.00, GU      = 884.62, GL      =1033.14
VARIA: TU      = -26.68, TL      = -23.19, TA      =   0.00, GA      =   0.01
VARIA: RHH     =-9175.95, RAH     =   8.83, RAV     =   7.82, D1T     =   9.99
VARIA: D1B     =  14.99, D1R     =   9.99, D1L     =   9.99, D2T     =   9.99
VARIA: D2B     =  19.01, D2R     =  10.00, D2L     =   9.99, I1      =   0.00
VARIA: I2      =   0.00, I3      =   0.00, I4      =   0.00, I5      =   0.00
VARIA: I6      =   0.00, I7      =   0.00, I8      =   0.00
VARIA: AnalyserDistance=1266.60
ZEROS: A1      =   2.03, A2      =   0.18, A3      =-183.50, A4      =-179.74
ZEROS: A5      =   0.88, A6      =-178.87, CHV     =   0.00, CHSIPG  =   0.00
ZEROS: GMH     =   0.00, TMH     =   0.00, RMH     =   0.00, GMSIPG  =   0.00
ZEROS: TMSIPG  =   0.00, RMSIH   =   0.00, RMSIV   =   0.00, RMPGH   =   0.00
ZEROS: RMPGV   =   0.00, DTR     =   0.00, DOC     =   0.00, RBA     =   0.10
ZEROS: A3P     =-137.45, A3B     =  -6.93, GU      =   0.00, GL      =   0.00
ZEROS: TU      =  -0.17, TL      =  -0.02, TA      = -25.07, GA      =   0.00
ZEROS: RHH     =   0.00, RAH     =   0.00, RAV     =   0.00, D1T     =   0.00
ZEROS: D1B     =   0.00, D1R     =   0.00, D1L     =   0.00, D2T     =   0.00
ZEROS: D2B     =   0.00, D2R     =   0.00, D2L     =   0.00
PARAM: MN=  500000
PARAM: TT=      1.79, RT=      1.94, MAG=      0.40
PARAM: REACTOR=54.67
FORMT:
DATA_:
  PNT        QH        QK        QL        EN        M1        M2      TIME      CNTS         TT        MAG         A1         A2         A3        A3P         A4         A5         A6 
   1       1.5004    1.5004    0.5997    7.5033   500007       20   124.74        14        1.790      0.400     24.428     48.853     20.930      0.000    -38.250     38.620     77.270 
   2       1.5002    1.5002    0.5994    7.6040   500008       31   125.08         3        1.790      0.400     24.322     48.639     20.630      0.000    -37.920     38.620     77.270 
   3       1.5003    1.5003    0.5996    7.7041   500011       23   124.80         1        1.790      0.400     24.217     48.429     20.330      0.000    -37.610     38.620     77.270 
   4       1.5002    1.5002    0.5999    7.8041   500007       20   125.98         9        1.790      0.400     24.113     48.222     20.020      0.000    -37.290     38.620     77.270 
   5       1.5002    1.5002    0.5998    7.9039   500004       25   126.72         3        1.790      0.400     24.011     48.018     19.720      0.000    -36.970     38.620     77.270 
   6       1.5003    1.5003    0.5996    8.0040   500005       16   126.92         4        1.790      0.400     23.910     47.816     19.420      0.000    -36.650     38.620     77.270 
   7       1.5003    1.5003    0.5998    8.1043   500002       29   128.24         4        1.790      0.400     23.810     47.616     19.110      0.000    -36.330     38.620     77.270 
   8       1.5004    1.5004    0.5997    8.2044   500009       32   129.72         0        1.790      0.400     23.712     47.419     18.810      0.000    -36.010     38.620     77.270 
   9       1.5002    1.5002    0.5996    8.3042   500007       32   131.36         4        1.790      0.400     23.615     47.225     18.500      0.000    -35.680     38.620     77.270 
  10       1.5003    1.5003    0.5998    8.4042   500008       33   133.62         7        1.790      0.400     23.519     47.033     18.190      0.000    -35.360     38.620     77.270 
  11       1.5002    1.5002    0.5997    8.5044   500006       27   137.21        12        1.790      0.400     23.424     46.843     17.880      0.000    -35.030     38.620     77.270 
  12       1.5004    1.5004    0.5999    8.6042   500008       22   140.50        10        1.790      0.400     23.330     46.656     17.570      0.000    -34.710     38.620     77.270 
  13       1.5004    1.5004    0.5997    8.7046   500005       25   143.85        17        1.790      0.400     23.238     46.470     17.260      0.000    -34.380     38.620     77.270 
  14       1.5004    1.5004    0.5996    8.8046   500005       28   146.19        24        1.790      0.400     23.146     46.287     16.950      0.000    -34.050     38.620     77.270 
  15       1.5002    1.5002    0.5996    8.9042   500007       26   147.33        16        1.790      0.400     23.056     46.107     16.630      0.000    -33.710     38.620     77.270 
  16       1.5003    1.5003    0.5997    9.0043   500004       40   145.21        18        1.790      0.400     22.966     45.928     16.310      0.000    -33.380     38.620     77.270 
  17       1.5004    1.5004    0.5999    9.1045   500006       26   146.07        21        1.790      0.400     22.878     45.751     15.990      0.000    -33.050     38.620     77.270 
  18       1.5003    1.5003    0.5998    9.2048   500003       30   145.07        10        1.790      0.400     22.790     45.576     15.670      0.000    -32.710     38.620     77.270 
  19       1.5003    1.5003    0.5997    9.3044   500003       35   143.63        10        1.790      0.400     22.704     45.404     15.350      0.000    -32.370     38.620     77.270 
  20       1.5004    1.5004    0.5995    9.4046   500007       31   142.64         2        1.790      0.400     22.619     45.233     15.030      0.000    -32.030     38.620     77.270 
  21       1.5004    1.5004    0.5997    9.5048   500010       30   141.43         8        1.790      0.400     22.534     45.064     14.700      0.000    -31.690     38.620     77.270 
  22       1.5003    1.5003    0.5996    9.6048   500004       35   140.94        15        1.790      0.400     22.451     44.897     14.370      0.000    -31.340     38.620     77.270 
  23       1.5004    1.5004    0.5997    9.7048   500003       35   140.58        17        1.790      0.400     22.368     44.732     14.040      0.000    -31.000     38.620     77.270 
  24       1.5004    1.5004    0.5996    9.8047   500007       31   140.53        28        1.790      0.400     22.287     44.569     13.710      0.000    -30.650     38.620     77.270 
  25       1.5004    1.5004    0.5998    9.9050   500004       57   139.70        41        1.790      0.400     22.206     44.407     13.370      0.000    -30.300     38.620     77.270 
  26       1.5003    1.5003    0.5997   10.0046   500007       48   139.70        43        1.790      0.400     22.126     44.248     13.030      0.000    -29.940     38.620     77.270 
  27       1.5004    1.5004    0.5999   10.1046   500004       49   142.02        43        1.790      0.400     22.047     44.090     12.690      0.000    -29.590     38.620     77.270 
  28       1.5004    1.5004    0.5997   10.2051   500009       57   142.68        35        1.790      0.400     21.969     43.933     12.350      0.000    -29.230     38.620     77.270 
  29       1.5004    1.5004    0.6000   10.3046   500004       61   143.45        25        1.790      0.400     21.892     43.779     12.000      0.000    -28.870     38.620     77.270 
  30       1.5004    1.5004    0.5998   10.4053   500003       59   144.76        11        1.790      0.400     21.815     43.625     11.650      0.000    -28.500     38.620     77.270 
  31       1.5003    1.5003    0.5997   10.5050   500006       57   145.59        27        1.790      0.400     21.739     43.474     11.300      0.000    -28.130     38.620     77.270 
  32       1.5004    1.5004    0.5996   10.6051   500004       74   147.63        19        1.790      0.400     21.664     43.324     10.950      0.000    -27.760     38.620     77.270 
  33       1.5004    1.5004    0.5998   10.7049   500003       69   150.05        13        1.790      0.400     21.590     43.176     10.590      0.000    -27.390     38.620     77.270 
  34       1.5004    1.5004    0.5996   10.8050   500007       53   153.30        15        1.790      0.400     21.517     43.029     10.230      0.000    -27.010     38.620     77.270 
  35       1.5004    1.5004    0.5999   10.9048   500007       55   156.95         6        1.790      0.400     21.444     42.884      9.860      0.000    -26.630     38.620     77.270 
  36       1.5003    1.5003    0.5998   11.0050   500004       61   160.66         6        1.790      0.400     21.372     42.740      9.490      0.000    -26.240     38.620     77.270 
  37       1.5005    1.5005    0.5999   11.1054   500004       59   164.26         9        1.790      0.400     21.301     42.597      9.120      0.000    -25.860     38.620     77.270 
  38       1.5004    1.5004    0.5998   11.2054   500005       48   168.59        10        1.790      0.400     21.230     42.456      8.740      0.000    -25.460     38.620     77.270 
  39       1.5003    1.5003    0.5997   11.3050   500006       56   170.50        13        1.790      0.400     21.161     42.317      8.360      0.000    -25.060     38.620     77.270 
